method,mean_abs_error,max_abs_error,mean_rel_error_pct
Manual INT8,0.007317980285733938,0.015280604362487793,1.011927843093872
torchao Weight-Only,0.004190733190625906,0.010785818099975586,0.8118943572044373
torchao Dynamic,0.0,0.0,0.0
