config,batch,in_features,out_features,weight_mb,runtime,time_ms,std_ms,gpu
4Kx4K (b=1),1,4096,4096,64,PyTorch FP32 GPU,0.3312,0.0133,NVIDIA RTX A3000 Laptop GPU
4Kx4K (b=1),1,4096,4096,64,PyTorch INT8 torchao,0.7536,0.0101,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=1),1,4096,11008,172,PyTorch FP32 GPU,0.8096,0.0071,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=1),1,4096,11008,172,PyTorch INT8 torchao,1.9533,0.0377,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=1),1,8192,8192,256,PyTorch FP32 GPU,1.1941,0.0196,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=1),1,8192,8192,256,PyTorch INT8 torchao,2.8456,0.0269,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=32),32,4096,11008,172,PyTorch FP32 GPU,0.8537,0.0149,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=32),32,4096,11008,172,PyTorch INT8 torchao,2.0063,0.0342,NVIDIA RTX A3000 Laptop GPU
